Title,Description
LevelDataTests.WallThickness_HasAFloor_AndDrivesDoorwaySnapDistance,"Wall thickness can't go below 0.01 m, and the doorway snap distance is the larger of the wall thickness and 0.12 m."
LevelDataTests.Bounds_OfEmptyLevel_IsADefaultViewport,A level with no rooms reports a default 10 x 10 m area centred on the origin.
LevelDataTests.TotalFloorArea_SkipsInvalidRooms,"Total floor area and level bounds ignore rooms with fewer than 3 corners."
LevelDataTests.FloorTypeAt_UsesPalette_OrNullWithout,"The floor covering under a point comes from the floor palette; it is null without a palette or outside every room."
LevelDataTests.RectangleOutline_KeepsSizeAndCentreAtAnyRotation,"A generated rectangle room keeps its area, centre and side length at 0, 37 and 90 degrees of rotation (3 cases)."
LevelDataTests.RegularOutline_HasAtLeastThreeSides_OnTheRadius,"A generated regular polygon always has at least 3 sides, with every corner on the requested radius."
LevelGeometryTests.Complement_WithoutGaps_IsTheWholeLine,"With no doorway gaps, the whole wall line stays solid."
LevelGeometryTests.Complement_SplitsAroundAGap,A single doorway gap splits a wall into the solid pieces on either side.
LevelGeometryTests.Complement_MergesOverlappingGaps_InAnyOrder,Overlapping doorway gaps are merged correctly even when given out of order.
LevelGeometryTests.Complement_ClampsGapsHangingOffTheEnds,"Gaps that extend past the ends of a wall are clipped to the wall, and a gap covering the whole wall leaves nothing solid."
LevelGeometryTests.CollectWallSegments_OneSegmentPerWalledEdge,A simple 4 x 3 m room produces four wall segments totalling 14 m.
LevelGeometryTests.CollectWallSegments_OfNullLevel_IsEmpty,Generating walls for a missing level returns no segments instead of throwing.
LevelGeometryTests.CollectWallSegments_SkipsDeletedWalls,A deleted wall produces no wall geometry.
LevelGeometryTests.CollectWallSegments_DoorwayCutsAGapOfItsWidth,A 1 m doorway on a wall cuts a 1 m gap in exactly the right place.
LevelGeometryTests.CollectWallSegments_DoorwaySlightlyOffTheWall_StillCuts,A doorway a few centimetres off a wall still cuts through it.
LevelGeometryTests.CollectWallSegments_DoorwayFarFromWalls_CutsNothing,A doorway far from every wall doesn't remove any wall.
LevelGeometryTests.CollectWallSegments_IncludesFreeStandingWalls,"Free-standing walls are included in the wall geometry, and zero-length ones are dropped."
LevelGeometryTests.CollectWallSegments_SharedWallDoorway_OpensBothRooms,A doorway on a wall shared by two rooms cuts the wall of both rooms by the doorway's width.
LevelLibraryTests.UniqueName_KeepsAFreeName,A level name that isn't taken is used as-is.
LevelLibraryTests.UniqueName_NumbersPastTakenNames_IgnoringCase,"Taken level names get a number (""Kitchen 2"", ""Kitchen 4"" …), and name matching ignores upper/lower case."
LevelLibraryTests.Write_CreatesTheFolder_AndLeavesNoTempFile,"Saving a level creates missing folders, leaves no temporary file behind, and can be read back."
LevelLibraryTests.Write_ReplacesAnExistingFile,Saving over an existing level file replaces it without leaving extra files.
LevelLibraryTests.Read_FileThatIsNotALevel_ReturnsNull,Reading a file that isn't a level returns nothing instead of crashing.
LevelLibraryTests.Delete_RemovesTheFile_AndIgnoresMissingOnes,"Deleting a level removes its file, and deleting a file that is already gone doesn't throw."
LevelSnapshotTests.SerializeThenParse_PreservesEverything,"Saving a level to JSON and loading it back keeps the name, rooms, corners, floors, deleted walls, doorways, free-standing walls, wall thickness, wall colour and vacuum start."
LevelSnapshotTests.FromLevel_IsADeepCopy,Changing a copied level doesn't affect the original level.
LevelSnapshotTests.ApplyTo_ReplacesTheLevelsContents,"Loading a saved level into an existing one fully replaces its rooms, doorways, walls and settings."
LevelSnapshotTests.Parse_UnreadableInput_ReturnsNull,"Null, empty, whitespace, non-JSON and truncated JSON all load as nothing instead of throwing (5 cases)."
LevelSnapshotTests.Parse_RepairsMissingAndOutOfRangeValues,"Loading repairs bad data: a blank name gets the default, negative wall thickness and zero doorway width are clamped, and missing wall flags default to walls."
LevelSnapshotTests.Parse_EmptyObject_GivesAnEmptyUsableLevel,"An empty JSON object loads as a usable empty level with the default name."
LevelSnapshotTests.ToJson_RoundTrips,Converting a saved level to JSON and back produces identical JSON.
LevelSnapshotTests.Summaries_MatchTheLevel,"The room count, floor area and bounds shown for a saved level match the live level, ignoring invalid rooms."
Poly2DTests.SignedArea_IsPositiveCounterClockwise_NegativeClockwise,"Polygon area is positive for counter-clockwise outlines, negative for clockwise ones, and unsigned area is the same either way."
Poly2DTests.Area_OfDegenerateInput_IsZero,A missing outline or one with fewer than 3 points has zero area.
Poly2DTests.Area_OfConcaveOutline,An L-shaped (concave) room has the correct area.
Poly2DTests.Centroid_OfSquare_IsItsMiddle,The centre of a square is its middle.
Poly2DTests.Centroid_FallsBackToAverage_ForFewOrCollinearPoints,"For empty, two-point or flat (collinear) outlines the centre falls back to the average of the points."
Poly2DTests.ContainsPoint_RespectsConcavity,"Point-in-room checks work for L-shaped rooms: points in the notch are outside, and outlines with fewer than 3 points contain nothing."
Poly2DTests.DistanceToSegment_ReportsDistanceAndClampedPosition,"Distance from a point to a wall is correct, with the position along the wall clamped to its ends."
Poly2DTests.DistanceToSegment_OfZeroLengthSegment_IsPointDistance,A zero-length wall measures distance to its single point without dividing by zero.
Poly2DTests.Bounds_EnclosesEveryPoint,"The bounding box encloses every point, and a missing outline gives an empty box."
Poly2DTests.IsSimple_DetectsSelfIntersection,"Squares, L-shapes and triangles are valid outlines; a bow-tie (self-crossing) outline, too few points or a missing outline are not."
Poly2DTests.Triangulate_ConcaveOutline_CoversExactlyItsArea,"An L-shaped room triangulates into the right number of counter-clockwise triangles covering exactly its area, for both winding directions (2 cases)."
Poly2DTests.Triangulate_TooFewPoints_ReturnsEmpty,A missing outline or one with fewer than 3 points produces no triangles.
Poly2DTests.PointInTriangle_IncludesEdges,"Points inside or exactly on a triangle's edge count as inside; points beyond it don't."
RoomTests.SyncWallEdges_AddsWallsForNewEdges_AndTrimsExtras,"A room always has exactly one wall flag per edge: missing flags are added as walls and extra flags are trimmed."
RoomTests.HasWall_OutOfRange_IsFalse,Asking about a wall on an edge that doesn't exist returns false instead of throwing.
RoomTests.SetWall_ToggleWall_AndSetAllWalls,"Individual walls can be removed and toggled back, all walls can be removed at once, and an invalid edge is ignored."
RoomTests.InsertVertex_BothHalvesInheritTheSplitEdgesWall,"Adding a corner splits an edge into two halves that both keep that edge's wall setting, so a deleted wall stays deleted."
RoomTests.InsertVertex_InvalidEdge_DoesNothing,Adding a corner on an edge that doesn't exist changes nothing.
RoomTests.RemoveVertex_KeepsWallFlagsAlignedWithEdges,Removing a corner keeps the number of wall flags equal to the number of edges.
RoomTests.RemoveVertex_NeverLeavesFewerThanThreeCorners,A triangle room refuses to lose another corner and stays valid.
RoomTests.EdgeEnd_WrapsToFirstVertex,The last edge of a room ends at its first corner.
SampleLevelsTests.Apartment_RoomsAreSimpleAndDoorwaysSitOnWalls,"In the sample apartment no room outline crosses itself, and every doorway sits on the walls of both rooms it connects."
SampleLevelsTests.PopulateBlank_ReplacesExistingContent,"Starting a blank level replaces any existing content with a single room, no doorways or free-standing walls, and the vacuum start inside the room."
